iter	RMSE
0	0.2400678496
1	0.2386731319
2	0.2375679946
3	0.236667178
4	0.2357427332
5	0.2349634615
6	0.2340089266
7	0.2334374995
8	0.2327240911
9	0.2320868791
10	0.2313773225
11	0.2308792314
12	0.2305065943
13	0.2299394813
14	0.2293834139
15	0.2289397892
16	0.228431534
17	0.2281699997
18	0.2279549173
19	0.2276501988
20	0.2273481688
21	0.22684573
22	0.226638209
23	0.2264446831
24	0.2262297498
25	0.2261050109
26	0.2257529525
27	0.2256376572
28	0.2253529551
29	0.22512531
30	0.2248442065
31	0.2245978082
32	0.224523829
33	0.2242893236
34	0.2241021057
35	0.2239271203
36	0.2237329852
37	0.2236708407
38	0.2234765631
39	0.2233212799
40	0.2230440341
41	0.2228311401
42	0.2226335875
43	0.222431119
44	0.2222392388
45	0.2221788163
46	0.2220894357
47	0.2218408854
48	0.2216484901
49	0.2215367069
50	0.2213591095
51	0.221158335
52	0.2208899208
53	0.2207225796
54	0.2206081632
55	0.2205397575
56	0.2203777837
57	0.2202875583
58	0.2201106986
59	0.2199833368
60	0.2199302821
61	0.2196923892
62	0.2194609609
63	0.2193170189
64	0.2191317396
65	0.219003412
66	0.2189392781
67	0.2188441706
68	0.2186164829
69	0.2184807358
70	0.2183696724
71	0.2182183681
72	0.2181614689
73	0.2179012811
74	0.2178365676
75	0.2177923984
76	0.2177358844
77	0.2175905243
78	0.2175523564
79	0.2175097374
80	0.2174489271
81	0.2172658156
82	0.2171023127
83	0.2169562337
84	0.2168109404
85	0.216503876
86	0.2163930123
87	0.2163207893
88	0.2162595415
89	0.2161734361
90	0.2161022119
91	0.2160325813
92	0.2159446993
93	0.2156438004
94	0.2154342558
95	0.2152295354
96	0.2151321412
97	0.2150680153
98	0.2150039198
99	0.2147826675
