iter	Passed	Remaining
0	70	6994
1	144	7093
2	218	7068
3	283	6802
4	350	6663
5	416	6517
6	480	6386
7	545	6273
8	611	6184
9	678	6107
10	744	6024
11	809	5934
12	884	5922
13	951	5841
14	1016	5760
15	1081	5677
16	1147	5600
17	1211	5520
18	1276	5440
19	1340	5363
20	1406	5291
21	1471	5218
22	1535	5140
23	1601	5071
24	1674	5022
25	1743	4961
26	1809	4891
27	1874	4819
28	1939	4749
29	2004	4677
30	2073	4614
31	2140	4547
32	2204	4476
33	2272	4411
34	2337	4340
35	2405	4277
36	2473	4210
37	2539	4143
38	2606	4077
39	2676	4015
40	2744	3949
41	2811	3882
42	2877	3814
43	2943	3746
44	3009	3678
45	3081	3617
46	3157	3560
47	3229	3498
48	3294	3428
49	3361	3361
50	3431	3296
51	3504	3234
52	3574	3170
53	3641	3101
54	3707	3033
55	3773	2965
56	3839	2896
57	3906	2828
58	3971	2759
59	4037	2691
60	4114	2630
61	4180	2562
62	4246	2493
63	4312	2425
64	4377	2357
65	4443	2289
66	4510	2221
67	4574	2152
68	4647	2087
69	4717	2021
70	4782	1953
71	4847	1884
72	4913	1817
73	4980	1749
74	5049	1683
75	5116	1615
76	5181	1547
77	5246	1479
78	5310	1411
79	5375	1343
80	5442	1276
81	5509	1209
82	5575	1142
83	5640	1074
84	5707	1007
85	5774	940
86	5840	872
87	5905	805
88	5970	737
89	6036	670
90	6100	603
91	6173	536
92	6237	469
93	6303	402
94	6369	335
95	6435	268
96	6499	201
97	6563	133
98	6627	66
99	6692	0
