iter	RMSE
0	27995.93366
1	26641.20404
2	25565.15018
3	24574.59155
4	23579.83635
5	22943.03503
6	22204.81163
7	21596.341
8	20961.31281
9	20518.0552
10	20127.87684
11	19819.51594
12	19526.79663
13	19237.34655
14	19002.49258
15	18816.40813
16	18675.78561
17	18502.82253
18	18335.78535
19	18189.50077
20	18087.14302
21	17996.66141
22	17911.76374
23	17835.68368
24	17718.7772
25	17644.04001
26	17621.12069
27	17583.12328
28	17541.69461
29	17474.05799
30	17460.72063
31	17430.83326
32	17411.68712
33	17387.79319
34	17332.4189
35	17275.22531
36	17239.08768
37	17216.86111
38	17193.41694
39	17178.01794
40	17169.91146
41	17144.13388
42	17097.31449
43	17085.13063
44	17081.42415
45	17046.5873
46	17030.40866
47	17022.41368
48	16994.9344
49	16974.10146
50	16943.51493
51	16927.20549
52	16909.66509
53	16886.7387
54	16876.73226
55	16850.09469
56	16830.3675
57	16822.53777
58	16810.53679
59	16799.94441
60	16777.34552
61	16766.94428
62	16733.77029
63	16710.53043
64	16705.69817
65	16686.6384
66	16670.09809
67	16651.57307
68	16644.89248
69	16631.77525
70	16620.28595
71	16612.73152
72	16605.71507
73	16599.06532
74	16586.55916
75	16570.92044
76	16561.09733
77	16541.73005
78	16539.89781
79	16535.05603
80	16528.20861
81	16525.63406
82	16518.54233
83	16496.44693
84	16486.01178
85	16482.7371
86	16477.65559
87	16467.44684
88	16450.06881
89	16440.34435
90	16425.75245
91	16419.00485
92	16406.32903
93	16398.17234
94	16389.67657
95	16379.05095
96	16368.11853
97	16352.10566
98	16336.52147
99	16335.56118
100	16328.30673
101	16322.02667
102	16303.26138
103	16298.35865
104	16289.84125
105	16285.00117
106	16279.05648
107	16271.77969
108	16259.02285
109	16249.65215
110	16233.23617
111	16227.96738
112	16214.86224
113	16205.97486
114	16201.64116
115	16197.93201
116	16188.90539
117	16185.24499
118	16172.27683
119	16159.57155
120	16146.36214
121	16140.12162
122	16130.08653
123	16122.41172
124	16119.53434
125	16107.54334
126	16100.88292
127	16097.5573
128	16095.11349
129	16085.22855
130	16079.83088
131	16069.72918
132	16067.36805
133	16062.99844
134	16059.38883
135	16050.36987
136	16041.9247
137	16033.64439
138	16028.58512
139	16021.14843
140	16013.99042
141	16010.78493
142	16001.70506
143	15996.43849
144	15990.32918
145	15988.72555
146	15982.1212
147	15979.64021
148	15975.00233
149	15973.13842
150	15971.31647
151	15968.20918
152	15963.80309
153	15956.86719
154	15953.94791
155	15947.96737
156	15942.87938
157	15935.30616
158	15931.93549
159	15926.47844
160	15924.32651
161	15921.63569
162	15915.85381
163	15914.76144
164	15912.48482
165	15907.83099
166	15900.66913
167	15899.37478
168	15895.68969
169	15892.11228
170	15887.28831
171	15880.10355
172	15877.96752
173	15874.72456
174	15870.96688
175	15868.65509
176	15865.59274
177	15862.00704
178	15858.15697
179	15855.23028
180	15854.14721
181	15848.99778
182	15848.22009
183	15845.14351
184	15843.14871
185	15841.80139
186	15838.98075
187	15837.0633
188	15835.98289
189	15833.38686
190	15831.55251
191	15830.04227
192	15828.40516
193	15827.36295
194	15824.72712
195	15823.07009
196	15817.47505
197	15815.7945
198	15814.09315
199	15812.72266
