iter	Passed	Remaining
0	2	593
1	5	502
2	7	473
3	9	470
4	11	459
5	14	465
6	16	456
7	18	451
8	21	453
9	23	446
10	26	447
11	28	442
12	30	440
13	32	438
14	35	433
15	37	432
16	39	428
17	42	425
18	44	423
19	46	419
20	49	420
21	51	416
22	53	411
23	55	409
24	58	406
25	60	404
26	62	400
27	64	396
28	67	395
29	69	391
30	71	388
31	73	385
32	75	382
33	78	384
34	80	381
35	83	378
36	85	375
37	87	371
38	89	370
39	91	367
40	93	363
41	95	360
42	97	357
43	100	355
44	102	351
45	104	348
46	106	347
47	108	344
48	110	341
49	113	340
50	115	337
51	117	335
52	119	332
53	121	329
54	123	326
55	125	323
56	127	321
57	130	320
58	132	317
59	134	314
60	136	311
61	138	309
62	141	307
63	143	304
64	145	301
65	147	299
66	149	296
67	151	293
68	153	291
69	155	288
70	157	285
71	159	283
72	161	280
73	163	278
74	165	276
75	167	273
76	170	271
77	172	269
78	174	266
79	177	265
80	178	262
81	181	260
82	183	258
83	185	256
84	187	254
85	189	251
86	191	248
87	193	246
88	195	244
89	197	241
90	199	239
91	202	237
92	204	235
93	206	233
94	208	230
95	211	228
96	213	226
97	215	224
98	217	222
99	219	219
100	221	217
101	223	215
102	225	212
103	228	210
104	230	208
105	232	205
106	234	203
107	236	201
108	239	199
109	241	197
110	244	196
111	246	193
112	248	191
113	251	189
114	253	187
115	255	185
116	258	183
117	260	180
118	262	178
119	264	176
120	267	174
121	269	172
122	271	170
123	274	168
124	276	166
125	279	163
126	281	161
127	283	159
128	286	157
129	288	155
130	291	153
131	293	151
132	295	149
133	298	147
134	301	145
135	304	143
136	306	140
137	309	138
138	310	136
139	314	134
140	316	132
141	319	130
142	321	128
143	323	125
144	326	123
145	328	121
146	330	119
147	333	117
148	335	114
149	338	112
150	340	110
151	342	108
152	344	105
153	347	103
154	349	101
155	351	99
156	353	96
157	355	94
158	357	92
159	360	90
160	362	87
161	364	85
162	366	83
163	368	80
164	370	78
165	372	76
166	374	74
167	376	71
168	378	69
169	380	67
170	383	64
171	385	62
172	387	60
173	389	58
174	391	55
175	394	53
176	396	51
177	398	49
178	400	46
179	402	44
180	404	42
181	407	40
182	409	38
183	411	35
184	413	33
185	415	31
186	417	29
187	419	26
188	421	24
189	424	22
190	426	20
191	428	17
192	430	15
193	432	13
194	434	11
195	436	8
196	438	6
197	440	4
198	442	2
199	444	0
